Team,Conference,MP,GF,GA,ATT,DEF
Penn St.,Big Ten,9,15,17,0.9189700419226211,1.5764293191465628
San Jose St.,WAC,10,10,9,0.46588096241076404,0.8364287039164684
Winthrop,Big South,8,10,15,0.6996464800705623,2.3158126157477907
New Hampshire,America East,8,12,7,0.7521268932687266,0.6978951998303033
USC Upstate,Big South,8,11,25,0.7696111280776186,3.859687692912985
Belmont,MVC,9,10,7,0.683783396122519,0.6374431715804237
Akron,Big East,14,35,17,1.3775217825434551,0.9892898278317718
Omaha,Summit League,10,13,12,0.7201214935551637,1.1124840740287172
LMU (CA),WCC,9,7,7,0.4156538283605017,0.6643655033339195
Syracuse,ACC,9,15,10,1.095482366392236,0.825180434309126
St. John's (NY),Big East,12,25,11,1.1479348187862126,0.7468168308141806
Northern Ky.,Horizon,7,10,13,0.8175535782574979,1.5889618416946418
North Carolina,ACC,12,19,9,1.0407082480726242,0.55699679315866
Maryland,Big Ten,13,24,19,1.017936046437365,1.2197711021450781
Bryant,America East,9,15,7,0.8356965480763628,0.6203512887380475
Stetson,ASUN,9,11,12,0.5449193096775843,1.254678745783557
Longwood,Big South,7,15,16,1.1993939658352497,2.823085855387783
VCU,Atlantic 10,9,11,7,0.7257206925619096,0.7015564475409076
La Salle,Atlantic 10,9,12,11,0.7916953009766287,1.1024458461357118
Michigan St.,Big Ten,9,7,5,0.4288526862305565,0.4636556821019303
Missouri St.,MVC,10,21,8,1.2923506186715612,0.6556558336255787
Washington,Big Ten,11,16,7,0.8020102184051966,0.5310965085894838
Northeastern,CAA,9,17,7,1.132892007415177,0.609929197594682
Holy Cross,Patriot,9,14,9,0.6222090158517269,0.8533933072586896
High Point,Big South,9,17,6,1.0572435698844054,0.8234000411547702
Lafayette,Patriot,8,12,8,0.5999872652855938,0.8533933072586896
Tulsa,AAC,8,10,12,0.4821326238902093,1.624729565742505
Green Bay,Horizon,9,20,8,1.2717500106227744,0.7605287447427345
Saint Peter's,MAAC,7,5,13,0.39325291811884117,1.778908609013428
Jacksonville,ASUN,7,6,5,0.3821512041894747,0.6721493280983342
Wright St.,Horizon,8,18,13,1.2876468857555592,1.3903416114828115
Fla. Atlantic,The American,8,20,7,1.317829171966572,0.749591140558474
Stony Brook,CAA,8,13,10,0.9746203299086448,0.9802433532771675
Queens (NC),ASUN,7,7,10,0.4458430715543871,1.3442986561966683
Loyola Maryland,Patriot,7,8,9,0.45713315450330955,1.097219966475458
Canisius,MAAC,8,14,9,0.9634696493911609,1.0776080996908266
Seton Hall,Big East,9,14,5,0.8571246646937054,0.4526162610995034
Central Conn. St.,NEC,7,8,15,0.6647089236400164,2.2356359207031997
North Florida,ASUN,9,21,16,1.0403005002935701,1.672904994378076
Indiana,Big Ten,13,27,15,1.1451780522420356,0.962977185904009
Air Force,WAC,8,4,19,0.23294048120538202,2.2072424131129025
Utah Valley,WAC,10,13,15,0.6056452511339934,1.3940478398607805
Oral Roberts,Summit League,8,15,6,1.0386367695507168,0.6953025462679482
Kansas City,Summit League,8,19,11,1.3156065747642414,1.2747213348245718
UC Irvine,Big West,10,15,9,0.799772940806112,0.6568425410167562
UC Riverside,Big West,6,8,8,0.7109092807165439,0.9731000607655647
Quinnipiac,MAAC,11,21,13,1.051057799335812,1.1320327511903634
Georgetown,Big East,11,17,7,0.8515589201177722,0.5184513536230676
Drexel,CAA,7,17,10,1.4565754381052272,1.1202781180310486
Yale,Ivy League,8,14,9,1.0434561135401632,0.9512374186782947
Brown,Ivy League,9,19,10,1.2587724544294034,0.9394937468427602
UNCW,CAA,8,14,8,1.0495911245170022,0.784194682621734
George Mason,Atlantic 10,10,25,13,1.4844286893311787,1.1726014908898026
IU Indy,Horizon,7,7,11,0.5722875047802485,1.34450617374162
Duke,ACC,12,31,12,1.697997667907966,0.7426623908782134
Bucknell,Patriot,10,12,9,0.479989812228475,0.7680539765328206
Harvard,Ivy League,6,8,5,0.7950141817448863,0.7046203101320702
Cornell,Ivy League,10,30,11,1.7887819089259942,0.9300988093743326
James Madison,Sun Belt,9,16,5,1.0134555783799786,0.4606032454816041
Fairfield,MAAC,6,9,10,0.8258311280495664,1.59645644398641
California Baptist,WAC,11,18,15,0.7623506657630685,1.2673162180552549
Saint Francis,NEC,6,14,8,1.3571140524317005,1.3910623506597688
Fordham,Atlantic 10,8,21,12,1.558650123797738,1.3530017202574645
Merrimack,MAAC,7,8,14,0.6292046689901458,1.9157477327836918
Gardner-Webb,Big South,8,20,8,1.3992929601411246,1.2351000617321553
Western Ill.,OVC,8,15,6,1.0159223146257983,0.6171862311424451
Old Dominion,Sun Belt,8,7,5,0.4988101674838958,0.5181786511668045
Penn,Ivy League,11,21,9,1.1383157602256326,0.6918090317660325
Evansville,MVC,6,11,6,1.1282426036021564,0.8195697920319733
Cal St. Fullerton,Big West,8,19,10,1.2663071562763442,0.9122813069677168
Rider,MAAC,9,17,4,1.0399354945809356,0.42572171839637596
DePaul,Big East,8,14,16,0.9642652477804187,1.6294185399582124
Detroit Mercy,Horizon,5,7,8,0.8012025066923479,1.368951740536922
Massachusetts,Atlantic 10,10,18,7,1.0687886563184488,0.6314008027868167
Army West Point,Patriot,8,8,12,0.39999151019039586,1.280089960888034
Davidson,Atlantic 10,10,17,17,1.0094115087452016,1.5334019496251265
Col. of Charleston,CAA,8,14,9,1.0495911245170022,0.8822190179494507
William & Mary,CAA,8,12,16,0.8996495353002875,1.568389365243468
UTRGV,WAC,8,15,7,0.8735268045201826,0.8131945732521221
Dartmouth,Ivy League,10,18,16,1.0732691453555965,1.3528709954535747
Mercer,SoCon,7,12,3,0.987223944156143,0.296724149587714
Lipscomb,ASUN,6,10,9,0.7430717859239785,1.4115135890065018
Loyola Chicago,Atlantic 10,7,17,11,1.4420164410645735,1.417430373603058
Cal Poly,Big West,8,12,3,0.799772940806112,0.27368439209031503
Princeton,Ivy League,9,14,9,0.9275165453690339,0.8455443721584842
Seattle U,WAC,9,24,10,1.2423492330953707,1.0326280295265042
Vermont,America East,12,28,7,1.169975167306908,0.4652634665535356
Radford,Big South,6,5,10,0.46643098671370825,2.058500102886925
Manhattan,MAAC,6,11,7,1.0093491565050254,1.117519510790487
FGCU,ASUN,8,12,10,0.6687646073315807,1.1762613241720847
Marist,MAAC,7,15,12,1.1797587543565233,1.6420694852431643
Chicago St.,NEC,5,4,10,0.46529624654801155,2.0865935259896533
Purdue Fort Wayne,Horizon,6,13,5,1.239956260357205,0.7129956981963136
Santa Clara,WCC,7,5,7,0.38172290359637917,0.8541842185721823
Utah Tech,WAC,7,7,8,0.46588096241076404,1.0621316875129756
Iona,MAAC,9,17,6,1.0399354945809356,0.6385825775945639
Wofford,SoCon,7,10,9,0.8226866201301192,0.890172448763142
Columbia,Ivy League,6,4,10,0.3975070908724431,1.4092406202641403
Southern Ind.,OVC,8,4,13,0.2709126172335462,1.3372368341419645
Denver,Summit League,12,27,8,1.2463641234608602,0.6180467077937317
Howard,NEC,6,11,8,1.0663038983391928,1.3910623506597688
Mercyhurst,NEC,4,9,0,1.3086456934162825,0.0
